Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Name-additional,no_accent_names,clean_end,no_period,clean_name
482,TuffyÿGosewisch,33,SEA,11,31,-6,0,0,-1,1,-6,-0.7,1,-5,-0.6,0.44,0.496,-0.5,0,-4,gosewtu01,TuffyÿGosewisch,TuffyÿGosewisch,TuffyÿGosewisch,tuffygosewisch
483,PhilÿGosselin,28,2TM,40,50,-6,0,0,-2,0,-8,-0.8,2,-6,-0.7,0.48,0.497,-0.5,-0.2,-4,gosseph01,PhilÿGosselin,PhilÿGosselin,PhilÿGosselin,philgosselin
484,DanielÿGossett,24,OAK,3,7,-1,0,0,0,1,0,0,0,0,0,0.508,0.5,0,0,0,gosseda01,DanielÿGossett,DanielÿGossett,DanielÿGossett,danielgossett
485,TrevorÿGott,24,WSN,4,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,gotttr01,TrevorÿGott,TrevorÿGott,TrevorÿGott,trevorgott
486,MattÿGrace*,28,WSN,39,5,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,0.498,0.5,-0.1,0,-1,gracema02,MattÿGrace*,MattÿGrace,MattÿGrace,mattgrace
487,YasmaniÿGrandal#,28,LAD,129,482,-1,-3,0,6,8,9,0.8,16,24,2.3,0.507,0.505,1.7,1.3,18,grandya01,YasmaniÿGrandal#,YasmaniÿGrandal,YasmaniÿGrandal,yasmanigrandal
488,CurtisÿGranderson*,36,2TM,147,527,6,0,1,-5,-2,0,-0.1,17,17,1.5,0.5,0.502,2.1,-0.7,22,grandcu01,CurtisÿGranderson*,CurtisÿGranderson,CurtisÿGranderson,curtisgranderson
489,ZackÿGranite*,24,MIN,40,107,-4,-1,-1,4,0,-1,-0.1,4,3,0.3,0.497,0.499,-0.1,0.4,-1,graniza01,ZackÿGranite*,ZackÿGranite,ZackÿGranite,zackgranite
490,JuanÿGraterol,28,LAA,48,87,-8,0,-1,4,2,-3,-0.3,3,0,0,0.493,0.498,-0.4,0.6,-4,grateju01,JuanÿGraterol,JuanÿGraterol,JuanÿGraterol,juangraterol
491,KendallÿGraveman,26,OAK,2,1,0,0,0,0,0,0,0,0,0,0,0.494,0.5,0,0,0,graveke01,KendallÿGraveman,KendallÿGraveman,KendallÿGraveman,kendallgraveman
492,JonÿGray,25,COL,19,43,-9,0,0,0,7,-2,-0.2,0,-2,-0.2,0.489,0.499,-0.2,0,-2,grayjo02,JonÿGray,JonÿGray,JonÿGray,jongray
494,ChadÿGreen*,26,NYY,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,greench03,ChadÿGreen*,ChadÿGreen,ChadÿGreen,chadgreen
495,GrantÿGreen,29,WSN,2,3,-1,0,0,-1,0,-2,-0.2,0,-2,-0.2,0.408,0.499,-0.1,-0.1,-1,greengr01,GrantÿGreen,GrantÿGreen,GrantÿGreen,grantgreen
496,ShaneÿGreene,28,DET,7,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,greensh02,ShaneÿGreene,ShaneÿGreene,ShaneÿGreene,shanegreene
